"id","id_annee","id_etudiant","matricule","id_niveau"
2112,2,2112,"10ISST21-962FGCI/GINFO",2
2113,2,2113,"10ISST21-912FGCI/GINFO",2
2114,2,2114,"11ISST22-1189FGCI/GINFO",2
2115,2,2115,"11ISST22-1061FGCI/GINFO",2
2116,2,2116,"11ISST22-1133FGCI/GINFO",2
2117,2,2117,"11ISST22-1208FGCI/GINFO",2
2118,2,2118,"11ISST22-902FGCI/GINFO",2
2119,2,2119,"11ISST22-1198FGCI/GINFO",2
2120,2,2120,"11ISST22-1073FGCI/GINFO",2
2121,2,2121,"11ISST22-926FGCI/GINFO",2
2122,2,2122,"10ISST21-909FGCI/GINFO",2
2123,2,2123,"11ISST22-1091FGCI/GINFO",2
2124,2,2124,"11ISST22-997FGCI/GINFO",2
2125,2,2125,"10ISST21-995FGCI/GINFO",2
2126,2,2126,"10ISST21-975FGCI/GINFO",2
2127,2,2127,"10ISST21-797FGCI/GINFOI",2
2128,2,2128,"10ISST21-955FGCI/GINFO",3
2129,2,2129,"10ISST21-860FGCI/GINFO",3
2130,2,2130,"10ISST21-873FGC/GINFO",3
2131,2,2131,"10ISST21-831FGCI/GINFO",3
2132,2,2132,"10ISST21-929FGCI/GINFO",3
2133,2,2133,"10ISST21-1036FGCI/GINFO",3
2134,2,2134,"10ISST21-982FGCI/GINFO",3
2135,2,2135,"10ISST21-842FGCI/GINFO",3
2136,2,2136,"10ISST21-911FGCI/GINFO",3
2137,2,2137,"10ISST21-940FGCI/GINFO",3
2138,2,2138,"10ISST21-989FGCI/GINFO",3
2139,2,2139,"10ISST21-787FGCI/GINFO",3
2140,2,2140,"10ISST21-1017FGCI/GINFO",3
2141,2,2141,"10ISST21-983FGCI/GINFO",3
2142,2,2142,"10ISST21-795FGCI/GINFO",3
2143,2,2143,"10ISST21-938FGCI/GINFO",3
2144,2,2144,"10ISST21-857FGCI/GINFO",3
2145,2,2145,"10ISST21-984FGCI/GINFO",3
2146,2,2146,"10ISST21-974FGCI/GINFO",3
2147,2,2147,"10ISST21-785FGCI/GINFO",3
2148,2,2148,"10ISST21-1245FGCI/GINFO",3
2149,2,2149,"10ISST21-1025FGCI/GINFO",3
2150,2,2150,"10ISST21-833FGCI/GINFO",3
